DATES,Natural gas,Coal,Solar,Petroleum,Wind,Other,Nuclear,Hydro
04/30/2020,3210628,1327566,218723,82375,1026790,189731,2047459,863461
05/01/2020,2949598,1216687,280823,69197,1224821,189520,2022125,881844
05/02/2020,2793592,1247391,286194,78061,1169736,182218,1975578,843054
05/03/2020,3006768,1337997,277681,79442,916295,189181,1964535,842614
05/04/2020,3375467,1402204,311771,96988,1098447,202269,1958602,944259
05/05/2020,3515342,1475399,278781,119923,897540,204422,1956102,926964
05/06/2020,3439378,1539297,280309,127980,730541,208287,1999743,863546
05/07/2020,2947095,1366185,293863,111621,1153315,193581,2038784,912628
05/08/2020,3000329,1346355,261488,82715,1211922,179200,2062222,914458
05/09/2020,3020769,1338854,303840,61332,845138,183568,2036063,868455
05/10/2020,2779645,1212029,267040,49465,1021571,196726,2012100,807666
05/11/2020,3158290,1405635,292224,91471,987993,192864,2042431,866721
05/12/2020,3344505,1475517,291585,102346,728973,194138,2075957,876418
05/13/2020,3151717,1287808,270095,93241,1216824,186793,2075428,873009
05/14/2020,3417281,1362068,276969,99262,970188,197789,2096695,903518
05/15/2020,3547008,1382956,274533,91664,927826,206765,2092137,892695
05/16/2020,3456041,1434531,291780,80955,550176,204788,2084732,856802
05/17/2020,3255454,1386068,274775,48929,784125,202055,2130622,819494
05/18/2020,3437851,1509233,238533,78190,901979,195561,2150752,906672
05/19/2020,3378395,1504411,238237,70310,983693,205527,2131563,925819
05/20/2020,3218137,1482853,228965,71690,1102824,205922,2115980,916739
05/21/2020,3295431,1559251,266147,69802,1022620,206731,2117969,930771
05/22/2020,3545435,1650784,276765,95740,839214,208229,2116682,945717
05/23/2020,3289809,1459912,260052,104634,1060685,201562,2107051,937233
05/24/2020,3143357,1482260,262045,86658,990446,208831,2148822,945808
05/25/2020,3405176,1584323,255965,96660,698252,198147,2154875,947065
05/26/2020,4111600,1884252,268865,115735,564838,205293,2151559,950887
05/27/2020,4315836,2014418,261761,123475,488524,209774,2131663,987326
05/28/2020,4239647,1976185,262706,91988,750732,200169,2148243,1011171
05/29/2020,4296491,1953748,245391,100157,608883,203017,2135460,999188
05/30/2020,3766954,1690556,263774,76444,721247,200407,2122869,965650
05/31/2020,3296239,1549586,270266,50653,919531,193573,2120635,894000
06/01/2020,3724272,1712124,265571,66835,1016996,177983,2147268,942823
06/02/2020,4180171,2011944,239677,99686,1002149,177348,2184274,960689
06/03/2020,4764833,2363888,273055,114286,633015,183095,2209052,976945
06/04/2020,4777773,2500696,288231,109373,667460,187230,2230577,943051
06/05/2020,4652750,2496963,240455,106647,716273,195765,2235895,969321
06/06/2020,4105949,2171357,229842,82861,1173130,176136,2174899,900866
06/07/2020,3744984,1995042,228735,61939,1257445,174910,2187796,844541
06/08/2020,4226077,2220745,281018,84583,1216471,185099,2209674,880711
06/09/2020,4578156,2353593,293935,112087,1200191,188862,2213800,921201
06/10/2020,4767093,2297414,309855,84744,1026283,204710,2250425,922111
06/11/2020,4416194,2190580,286226,72026,1039260,187024,2259007,919032
06/12/2020,4227528,2201460,302215,89905,830111,184053,2295008,913146
06/13/2020,3440595,1817207,282874,59466,1254070,173465,2265010,797615
06/14/2020,3238134,1700061,288498,59384,1300144,169525,2275689,798378
06/15/2020,3788728,1988921,277093,83588,1164683,193540,2294843,840976
06/16/2020,3861645,1981763,275264,80077,1282448,212342,2300087,833297
06/17/2020,3906449,1977174,286131,104736,1365836,205028,2291290,839785
06/18/2020,4272344,2190613,302344,101004,1038415,215184,2340544,877861
06/19/2020,4614610,2290576,296860,120777,723114,222461,2275353,908048
06/20/2020,4586133,2203776,299879,101948,611790,210755,2240471,843612
06/21/2020,4354606,2133121,305912,88680,938010,210290,2254201,824167
06/22/2020,5013549,2505974,308911,117524,685334,225995,2221588,900059
06/23/2020,5008871,2485288,294670,109287,605256,212056,2266734,901937
06/24/2020,4929363,2510593,281651,96848,577796,211745,2237344,855941
06/25/2020,4875413,2389700,267384,113134,825169,211023,2245363,857655
06/26/2020,4825800,2326680,291216,111159,949335,227779,2263710,901053
06/27/2020,4560007,2226957,288055,118600,1054607,220622,2257625,829293
06/28/2020,4543562,2130913,276344,105627,1238675,226950,2282556,811325
06/29/2020,4964796,2354072,301806,116403,1316727,237467,2288149,890063
06/30/2020,4928517,2456325,291628,112291,1214120,226467,2290269,893372
07/01/2020,5095965,2558009,289507,112054,833151,226055,2294059,900269
07/02/2020,5276888,2647703,305983,119124,773332,242011,2286969,938280
07/03/2020,5251194,2722950,313389,123873,512952,226953,2288535,918566
07/04/2020,4997047,2693593,313226,112118,454409,223364,2292253,822864
07/05/2020,5057689,2764746,297848,115572,421470,243390,2286957,811148
07/06/2020,5605399,2912277,290975,141202,469723,246750,2280352,847397
07/07/2020,5536222,2929977,280081,147965,652403,234152,2278209,811709
07/08/2020,5584484,2943478,297165,139547,906538,244923,2274929,846228
07/09/2020,5701025,2963023,306204,149758,999075,248759,2274096,864520
07/10/2020,5645292,2965338,303163,120315,854729,236745,2277246,856236
07/11/2020,5337119,2859757,305184,92970,804723,234601,2281035,803047
07/12/2020,5104937,2726693,305396,93784,759018,221738,2283853,739501
07/13/2020,5524595,2803186,299552,97386,1000908,235001,2286330,810871
07/14/2020,5519917,2826387,298958,109524,940967,246817,2287080,815105
07/15/2020,5560933,2944641,294965,119691,755418,237746,2283706,821473
07/16/2020,5522814,2999324,307614,105832,711321,223436,2289270,793885
07/17/2020,5511808,2961378,308259,113544,976802,234916,2278794,747115
07/18/2020,5240062,2899042,309621,115187,1111034,229165,2245631,728006
07/19/2020,5435671,2968550,299720,108697,855986,240179,2236575,735165
07/20/2020,5971203,3194697,293422,138864,654012,254501,2221142,783781
07/21/2020,5889024,3157167,280581,131581,509839,245900,2190646,804355
07/22/2020,5734273,3123452,284151,137171,555225,242861,2187023,766167
07/23/2020,5586177,2982112,274417,112564,778063,252731,2190478,762982
07/24/2020,5468369,2853833,288457,109057,895128,243720,2175383,714554
07/25/2020,5187556,2759476,289461,115457,797382,244254,2197005,695306
07/26/2020,5342280,2879137,295672,113288,684262,249802,2203478,701376
07/27/2020,6005420,3186766,283731,132641,482834,241397,2196278,758204
07/28/2020,5948491,3096424,277640,142952,553214,232355,2196753,751191
07/29/2020,5826457,3060743,273084,147524,536430,239765,2202641,739096
07/30/2020,5706562,2944944,289477,110333,756330,229483,2230473,759999
07/31/2020,5715518,2807109,288600,106114,558327,223758,2252315,752935
08/01/2020,5273536,2674124,280082,93170,401735,222841,2267501,685214
08/02/2020,4978958,2565631,279305,72063,619203,227719,2284991,662495
